title,movie index
"Big Blue, The (Grand bleu, Le) (1988)",148
Big Bully (1996),149
"Big Green, The (1995)",150
"Big Hit, The (1998)",151
"Big Lebowski, The (1998)",152
Big Night (1996),153
"Big One, The (1997)",154
"Big Sleep, The (1946)",155
Billy Madison (1995),156
Bio-Dome (1996),157
"Birdcage, The (1996)",158
"Birds, The (1963)",159
Bitter Moon (1992),160
Black Beauty (1994),161
Black Sheep (1996),162
Blade Runner (1982),163
Blink (1994),164
Bliss (1997),165
"Blob, The (1958)",166
Blood and Wine (Blood & Wine) (1996),167
Blood for Dracula (Andy Warhol's Dracula) (1974),168
Bloodsport 2 (a.k.a. Bloodsport II: The Next Kumite) (1996),169
Blown Away (1994),170
Blue Chips (1994),171
Blue Juice (1995),172
Blue Sky (1994),173
Blue in the Face (1995),174
Blues Brothers 2000 (1998),175
"Blues Brothers, The (1980)",176
Bob Roberts (1992),177
Body Parts (1991),178
"Body Snatcher, The (1945)",179
Body Snatchers (1993),180
Bogus (1996),181
Bonnie and Clyde (1967),182
Boogie Nights (1997),183
Boomerang (1992),184
"Boot, Das (Boat, The) (1981)",185
Booty Call (1997),186
"Borrowers, The (1997)",187
Bottle Rocket (1996),188
Bound (1996),189
Boxing Helena (1993),190
Boys (1996),191
Boys Life (1995),192
"Boys of St. Vincent, The (1992)",193
Boys on the Side (1995),194
"Brady Bunch Movie, The (1995)",195
Brassed Off (1996),196
Braveheart (1995),197
Brazil (1985),198
Bread and Chocolate (Pane e cioccolata) (1973),199
Breakdown (1997),200
"Breakfast Club, The (1985)",201
Breakfast at Tiffany's (1961),202
Breaking the Waves (1996),203
"Bride of Frankenstein, The (Bride of Frankenstein) (1935)",204
"Bridge on the River Kwai, The (1957)",205
"Bridges of Madison County, The (1995)",206
Bringing Up Baby (1938),207
Broken Arrow (1996),208
Broken English (1996),209
"Bronx Tale, A (1993)",210
"Brothers McMullen, The (1995)",211
"Browning Version, The (1994)",212
Buffalo '66 (a.k.a. Buffalo 66) (1998),213
Bulletproof (1996),214
Bullets Over Broadway (1994),215
Bulworth (1998),216
Burnt by the Sun (Utomlyonnye solntsem) (1994),217
Bushwhacked (1995),218
Butch Cassidy and the Sundance Kid (1969),219
"Butcher Boy, The (1997)",220
Cabin Boy (1994),221
"Cable Guy, The (1996)",222
Calendar Girl (1993),223
Can't Hardly Wait (1998),224
Canadian Bacon (1995),225
"Candidate, The (1972)",226
Candyman (1992),227
Candyman: Farewell to the Flesh (1995),228
Cape Fear (1962),229
Cape Fear (1991),230
Career Girls (1997),231
Carlito's Way (1993),232
Carpool (1996),233
Carrie (1976),234
Casablanca (1942),235
Casino (1995),236
Casper (1995),237
Castle Freak (1995),238
Cat People (1982),239
Cat on a Hot Tin Roof (1958),240
Cats Don't Dance (1997),241
Catwalk (1996),242
"Celluloid Closet, The (1995)",243
Celtic Pride (1996),244
"Cement Garden, The (1993)",245
Cemetery Man (Dellamorte Dellamore) (1994),246
Chain Reaction (1996),247
"Chamber, The (1996)",248
Character (Karakter) (1997),249
Charade (1963),250
Chariots of Fire (1981),251
Chasing Amy (1997),252
Cheech and Chong's Up in Smoke (1978),253
Child's Play (1988),254
Child's Play 2 (1990),255
Child's Play 3 (1991),256
"Children Are Watching Us, The (Bambini ci guardano, I) (1944)",257
"Children of Heaven, The (Bacheha-Ye Aseman) (1997)",258
Children of the Corn IV: The Gathering (1996),259
Children of the Revolution (1996),260
Chinatown (1974),261
Chinese Box (1997),262
"Christmas Carol, A (1938)",263
Chungking Express (Chung Hing sam lam) (1994),264
"Ciao, Professore! (Io speriamo che me la cavo) (1992)",265
Cinderella (1950),266
Cinema Paradiso (Nuovo cinema Paradiso) (1989),267
Circle of Friends (1995),268
Citizen Kane (1941),269
Citizen Ruth (1996),270
City Hall (1996),271
City Slickers II: The Legend of Curly's Gold (1994),272
City of Angels (1998),273
"City of Lost Children, The (Cité des enfants perdus, La) (1995)",274
Clean Slate (1994),275
Clear and Present Danger (1994),276
Clerks (1994),277
"Client, The (1994)",278
Cliffhanger (1993),279
Clockers (1995),280
Clockwatchers (1997),281
"Clockwork Orange, A (1971)",282
Clueless (1995),283
Cobb (1994),284
Cold Comfort Farm (1995),285
Cold Fever (Á köldum klaka) (1995),286
"Collector, The (La collectionneuse) (1967)",287
"Colonel Chabert, Le (1994)",288
Color of Night (1994),289
Con Air (1997),290
Conan the Barbarian (1982),291
Coneheads (1993),292
Congo (1995),293
Conspiracy Theory (1997),294
Contact (1997),295
"Contempt (Mépris, Le) (1963)",296
"Cook the Thief His Wife & Her Lover, The (1989)",297
Cool Hand Luke (1967),298
Cool Runnings (1993),299
Cop Land (1997),300
Cops and Robbersons (1994),301
Copycat (1995),302
"Corrina, Corrina (1994)",303
Courage Under Fire (1996),304
"Cowboy Way, The (1994)",305
"Craft, The (1996)",306
Crash (1996),307
Crimson Tide (1995),308
Crooklyn (1994),309
Crossfire (1947),310
"Crossing Guard, The (1995)",311
"Crow, The (1994)",312
"Crow: City of Angels, The (1996)",313
"Crucible, The (1996)",314
Crumb (1994),315
"Cry, the Beloved Country (1995)",316
"Crying Game, The (1992)",317
"Cure, The (1995)",318
Cutthroat Island (1995),319
Cyrano de Bergerac (1990),320
D3: The Mighty Ducks (1996),321
"Dancer, Texas Pop. 81 (1998)",322
Dances with Wolves (1990),323
Dangerous Ground (1997),324
Dangerous Minds (1995),325
Dante's Peak (1997),326
Dark City (1998),327
Dave (1993),328
"Davy Crockett, King of the Wild Frontier (1955)",329
"Day the Earth Stood Still, The (1951)",330
Daylight (1996),331
Days of Thunder (1990),332
"Daytrippers, The (1996)",333
Dazed and Confused (1993),334
Dead Alive (Braindead) (1992),335
Dead Man (1995),336
Dead Man Walking (1995),337
Dead Poets Society (1989),338
Dead Presidents (1995),339
Dear Diary (Caro Diario) (1994),340
Dear God (1996),341
Death and the Maiden (1994),342
Deceiver (1997),343
Deconstructing Harry (1997),344
Deep Impact (1998),345
Deep Rising (1998),346
"Deer Hunter, The (1978)",347
Delicatessen (1991),348
Demolition Man (1993),349
Denise Calls Up (1995),350
Desperado (1995),351
Desperate Measures (1998),352
Destiny Turns on the Radio (1995),353
Devil in a Blue Dress (1995),354
"Devil's Own, The (1997)",355
Diabolique (1996),356
Dial M for Murder (1954),357
Die Hard (1988),358
Die Hard 2 (1990),359
Die Hard: With a Vengeance (1995),360
Dirty Dancing (1987),361
Disclosure (1994),362
Diva (1981),363
Dolores Claiborne (1995),364
Don Juan DeMarco (1995),365
Don't Be a Menace to South Central While Drinking Your Juice in the Hood (1996),366
Donnie Brasco (1997),367
"Doom Generation, The (1995)",368
"Doors, The (1991)",369
Double Happiness (1994),370
"Double Life of Veronique, The (Double Vie de Véronique, La) (1991)",371
Double Team (1997),372
Down Periscope (1996),373
Down by Law (1986),374
Dr. Dolittle (1998),375
Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb (1964),376
Dracula (Bram Stoker's Dracula) (1992),377
Dracula: Dead and Loving It (1995),378
Dragonheart (1996),379
Dream for an Insomniac (1996),380
Driving Miss Daisy (1989),381
Drop Dead Fred (1991),382
Drop Zone (1994),383
Drunks (1995),384
Duck Soup (1933),385
Dumb & Dumber (Dumb and Dumber) (1994),386
Dumbo (1941),387
Dunston Checks In (1996),388
E.T. the Extra-Terrestrial (1982),389
East of Eden (1955),390
Eat Drink Man Woman (Yin shi nan nu) (1994),391
Ed (1996),392
Ed Wood (1994),393
Eddie (1996),394
"Edge, The (1997)",395
"Eighth Day, The (Huitième jour, Le) (1996)",396
Emma (1996),397
Enchanted April (1992),398
"English Patient, The (1996)",399
"Englishman Who Went Up a Hill But Came Down a Mountain, The (1995)",400
Eraser (1996),401
Escape from L.A. (1996),402
Escape from New York (1981),403
Escape to Witch Mountain (1975),404
Eve's Bayou (1997),405
Even Cowgirls Get the Blues (1993),406
Event Horizon (1997),407
Everest (1998),408
Everyone Says I Love You (1996),409
Evil Dead II (Dead by Dawn) (1987),410
Evita (1996),411
Excess Baggage (1997),412
Executive Decision (1996),413
Exit to Eden (1994),414
Exorcist II: The Heretic (1977),415
"Exorcist III, The (1990)",416
"Exorcist, The (1973)",417
Exotica (1994),418
Extreme Measures (1996),419
Eye for an Eye (1996),420
"Eyes Without a Face (Yeux sans visage, Les) (1959)",421
Face/Off (1997),422
Fair Game (1995),423
FairyTale: A True Story (1997),424
Fallen (1998),425
Fallen Angels (Duo luo tian shi) (1995),426
"Family Thing, A (1996)",427
"Fan, The (1996)",428
Fantasia (1940),429
Far From Home: The Adventures of Yellow Dog (1995),430
Farewell My Concubine (Ba wang bie ji) (1993),431
"Farewell to Arms, A (1932)",432
Fargo (1996),433
Farinelli: il castrato (1994),434
"Fast, Cheap & Out of Control (1997)",435
Faster Pussycat! Kill! Kill! (1965),436
Fatal Instinct (1993),437
Father of the Bride (1950),438
Father of the Bride Part II (1995),439
Fathers' Day (1997),440
Fear (1996),441
Fear and Loathing in Las Vegas (1998),442
Fear of a Black Hat (1994),443
Fearless (1993),444
Feeling Minnesota (1996),445
Female Perversions (1996),446
"Femme Nikita, La (Nikita) (1990)",447
Field of Dreams (1989),448
Fierce Creatures (1997),449
"Fifth Element, The (1997)",450
Fire Down Below (1997),451
Fireworks (Hana-bi) (1997),452
"Firm, The (1993)",453
First Kid (1996),454
First Knight (1995),455
First Strike (Police Story 4: First Strike) (Ging chaat goo si 4: Ji gaan daan yam mo) (1996),456
"First Wives Club, The (1996)",457
"Fish Called Wanda, A (1988)",458
Fled (1996),459
Flesh and Bone (1993),460
"Flintstones, The (1994)",461
Flipper (1996),462
Flirting With Disaster (1996),463
"Flower of My Secret, The (La flor de mi secreto) (1995)",464
Flubber (1997),465
Fluke (1995),466
Fly Away Home (1996),467
"Fog, The (1980)",468
Fools Rush In (1997),469
For Love or Money (1993),470
For Richer or Poorer (1997),471
For Whom the Bell Tolls (1943),472
Forbidden Planet (1956),473
Foreign Correspondent (1940),474
Forget Paris (1995),475
Forrest Gump (1994),476
"Four Days in September (O Que É Isso, Companheiro?) (1997)",477
Four Rooms (1995),478
Four Weddings and a Funeral (1994),479
"Fox and the Hound, The (1981)",480
Foxfire (1996),481
"Freddy's Dead: The Final Nightmare (Nightmare on Elm Street Part 6: Freddy's Dead, A) (1991)",482
Free Willy (1993),483
Free Willy 2: The Adventure Home (1995),484
Freeway (1996),485
"French Connection, The (1971)",486
French Kiss (1995),487
French Twist (Gazon maudit) (1995),488
Fresh (1994),489
Friday (1995),490
Friday the 13th (1980),491
Friday the 13th Part 2 (1981),492
Friday the 13th Part 3: 3D (1982),493
Friday the 13th Part IV: The Final Chapter (1984),494
Friday the 13th Part V: A New Beginning (1985),495
Friday the 13th Part VI: Jason Lives (1986),496
Friday the 13th Part VII: The New Blood (1988),497
Friday the 13th Part VIII: Jason Takes Manhattan (1989),498
Fried Green Tomatoes (1991),499
"Frighteners, The (1996)",500
From Dusk Till Dawn (1996),501
From Here to Eternity (1953),502
"Fugitive, The (1993)",503
Full Metal Jacket (1987),504
"Full Monty, The (1997)",505
"Funeral, The (1996)",506
Funny Face (1957),507
G.I. Jane (1997),508
"Game, The (1997)",509
Gandhi (1982),510
Gaslight (1944),511
Gattaca (1997),512
"Gay Divorcee, The (1934)",513
Gentleman's Agreement (1947),514
George of the Jungle (1997),515
Georgia (1995),516
Germinal (1993),517
Geronimo: An American Legend (1993),518
Get Shorty (1995),519
Get on the Bus (1996),520
"Getaway, The (1994)",521
Getting Even with Dad (1994),522
Ghost (1990),523
"Ghost and Mrs. Muir, The (1947)",524
"Ghost and the Darkness, The (1996)",525
Ghost in the Shell (Kôkaku kidôtai) (1995),526
Ghosts of Mississippi (1996),527
Giant (1956),528
Gigi (1958),529
"Gingerbread Man, The (1998)",530
Girl 6 (1996),531
Glengarry Glen Ross (1992),532
"Glimmer Man, The (1996)",533
Glory (1989),534
Glory Daze (1995),535
Go Fish (1994),536
"Godfather, The (1972)",537
"Godfather: Part II, The (1974)",538
Godzilla (1998),539
Going My Way (1944),540
GoldenEye (1995),541
Gone Fishin' (1997),542
Gone with the Wind (1939),543
Good Will Hunting (1997),544
"Good, the Bad and the Ugly, The (Buono, il brutto, il cattivo, Il) (1966)",545
Goodfellas (1990),546
"Goofy Movie, A (1995)",547
Gordy (1995),548
Grace of My Heart (1996),549
"Graduate, The (1967)",550
"Grand Day Out with Wallace and Gromit, A (1989)",551
Grand Hotel (1932),552
Grease (1978),553
Grease 2 (1982),554
"Great Day in Harlem, A (1994)",555
"Great Dictator, The (1940)",556
"Great Escape, The (1963)",557
Great Expectations (1998),558
"Great Race, The (1965)",559
"Great White Hype, The (1996)",560
Gridlock'd (1997),561
"Grifters, The (1990)",562
Grosse Pointe Blank (1997),563
Groundhog Day (1993),564
Grumpier Old Men (1995),565
Hackers (1995),566
Half Baked (1998),567
Halloween (1978),568
Halloween 4: The Return of Michael Myers (1988),569
Halloween 5: The Revenge of Michael Myers (1989),570
Halloween II (1981),571
Halloween III: Season of the Witch (1982),572
Halloween: The Curse of Michael Myers (Halloween 6: The Curse of Michael Myers) (1995),573
Hamlet (1948),574
Hamlet (1996),575
Happy Gilmore (1996),576
Hard Rain (1998),577
Hard Target (1993),578
Harold and Maude (1971),579
Harriet the Spy (1996),580
"Hate (Haine, La) (1995)",581
"Haunted World of Edward D. Wood Jr., The (1996)",582
He Got Game (1998),583
Head Above Water (1996),584
Hear My Song (1991),585
Hearts and Minds (1996),586
Heat (1995),587
Heathers (1989),588
Heaven's Prisoners (1996),589
Heavenly Creatures (1994),590
Heavy (1995),591
Heavy Metal (1981),592
Heavyweights (Heavy Weights) (1995),593
Hellraiser: Bloodline (1996),594
Henry Fool (1997),595
Henry V (1989),596
Herbie Rides Again (1974),597
Hercules (1997),598
Hideaway (1995),599
High Art (1998),600
High Noon (1952),601
High School High (1996),602
Higher Learning (1995),603
Highlander (1986),604
Highlander III: The Sorcerer (a.k.a. Highlander: The Final Dimension) (1994),605
His Girl Friday (1940),606
Home Alone (1990),607
Home Alone 3 (1997),608
Home for the Holidays (1995),609
Homegrown (1998),610
Homeward Bound II: Lost in San Francisco (1996),611
Homeward Bound: The Incredible Journey (1993),612
Hoodlum (1997),613
Hoop Dreams (1994),614
Hope Floats (1998),615
"Horse Whisperer, The (1998)",616
"Horseman on the Roof, The (Hussard sur le toit, Le) (1995)",617
Hot Shots! Part Deux (1993),618
House Arrest (1996),619
House Party 3 (1994),620
"House of Yes, The (1997)",621
"House of the Spirits, The (1993)",622
Houseguest (1994),623
How to Make an American Quilt (1995),624
"Howling, The (1980)",625
"Hudsucker Proxy, The (1994)",626
"Hunchback of Notre Dame, The (1996)",627
"Hunt for Red October, The (1990)",628
"Hunted, The (1995)",629
Hurricane Streets (1997),630
I Know What You Did Last Summer (1997),631
I Love Trouble (1994),632
I Shot Andy Warhol (1996),633
I Went Down (1997),634
I'll Do Anything (1994),635
I.Q. (1994),636
"Ice Storm, The (1997)",637
If Lucy Fell (1996),638
Immortal Beloved (1994),639
In & Out (1997),640
In Love and War (1996),641
In the Army Now (1994),642
In the Bleak Midwinter (1995),643
In the Company of Men (1997),644
In the Heat of the Night (1967),645
In the Line of Fire (1993),646
In the Mouth of Madness (1995),647
In the Name of the Father (1993),648
In the Realm of the Senses (Ai no corrida) (1976),649
Incognito (1997),650
Independence Day (a.k.a. ID4) (1996),651
Indian Summer (a.k.a. Alive & Kicking) (1996),652
"Indian in the Cupboard, The (1995)",653
Indiana Jones and the Last Crusade (1989),654
Infinity (1996),655
"Inkwell, The (1994)",656
"Innocents, The (1961)",657
Insomnia (1997),658
"Inspector General, The (1949)",659
Interview with the Vampire: The Vampire Chronicles (1994),660
Inventing the Abbotts (1997),661
"Island of Dr. Moreau, The (1996)",662
It Could Happen to You (1994),663
It Happened One Night (1934),664
It's My Party (1996),665
It's a Wonderful Life (1946),666
Jack (1996),667
Jack and Sarah (1995),668
"Jackal, The (1997)",669
Jackie Brown (1997),670
Jade (1995),671
James and the Giant Peach (1996),672
Jane Eyre (1996),673
Jason's Lyric (1994),674
Jaws (1975),675
Jaws 2 (1978),676
Jaws 3-D (1983),677
Jean de Florette (1986),678
Jefferson in Paris (1995),679
Jeffrey (1995),680
"Jerky Boys, The (1995)",681
Jerry Maguire (1996),682
Jingle All the Way (1996),683
Joe's Apartment (1996),684
Johnny Mnemonic (1995),685
"Joy Luck Club, The (1993)",686
Jude (1996),687
Judge Dredd (1995),688
Judgment Night (1993),689
Jumanji (1995),690
"Jungle Book, The (1994)",691
Jungle2Jungle (a.k.a. Jungle 2 Jungle) (1997),692
Junior (1994),693
Jurassic Park (1993),694
"Juror, The (1996)",695
Jury Duty (1995),696
Just Cause (1995),697
Kalifornia (1993),698
Kama Sutra: A Tale of Love (1996),699
Kansas City (1996),700
Kaspar Hauser (1993),701
Kazaam (1996),702
Kicking and Screaming (1995),703
"Kid in King Arthur's Court, A (1995)",704
Kids (1995),705
Kids in the Hall: Brain Candy (1996),706
Kika (1993),707
"Killer, The (Die xue shuang xiong) (1989)",708
"Killing Fields, The (1984)",709
Killing Zoe (1994),710
King of New York (1990),711
Kingpin (1996),712
"Kiss Me, Guido (1997)",713
Kiss of Death (1995),714
Kiss the Girls (1997),715
Klute (1971),716
Kolya (Kolja) (1996),717
Koyaanisqatsi (a.k.a. Koyaanisqatsi: Life Out of Balance) (1983),718
Kramer vs. Kramer (1979),719
Krippendorf's Tribe (1998),720
Kull the Conqueror (1997),721
Kundun (1997),722
Kurt & Courtney (1998),723
L.A. Confidential (1997),724
La Cérémonie (1995),725
Labyrinth (1986),726
Ladybird Ladybird (1994),727
Lamerica (1994),728
Land Before Time III: The Time of the Great Giving (1995),729
Land and Freedom (Tierra y libertad) (1995),730
Larger Than Life (1996),731
Last Action Hero (1993),732
Last Dance (1996),733
"Last Days of Disco, The (1998)",734
"Last Emperor, The (1987)",735
Last Man Standing (1996),736
"Last Supper, The (1995)",737
"Last of the Mohicans, The (1992)",738
Laura (1944),739
Lawnmower Man 2: Beyond Cyberspace (1996),740
"Lawnmower Man, The (1992)",741
Lawrence of Arabia (1962),742
Leave It to Beaver (1997),743
Leaving Las Vegas (1995),744
Legends of the Fall (1994),745
Lethal Weapon (1987),746
Lethal Weapon 4 (1998),747
Liar Liar (1997),748
"Life Less Ordinary, A (1997)",749
"Life of Emile Zola, The (1937)",750
Life with Mikey (1993),751
Lightning Jack (1994),752
Like Water for Chocolate (Como agua para chocolate) (1992),753
"Lion King, The (1994)",754
Little Big League (1994),755
Little Buddha (1993),756
Little Lord Fauntleroy (1936),757
"Little Princess, A (1995)",758
"Little Princess, The (1939)",759
"Little Rascals, The (1994)",760
Little Women (1994),761
Live Flesh (Carne trémula) (1997),762
Live Nude Girls (1995),763
Living in Oblivion (1995),764
Local Hero (1983),765
Lone Star (1996),766
"Long Kiss Goodnight, The (1996)",767
Looking for Richard (1996),768
Lord of Illusions (1995),769
Losing Isaiah (1995),770
Lost Highway (1997),771
Lost Horizon (1937),772
"Lost Weekend, The (1945)",773
"Lost World: Jurassic Park, The (1997)",774
Lost in Space (1998),775
Love & Human Remains (1993),776
Love Affair (1994),777
"Love Bug, The (1969)",778
Love Jones (1997),779
Love Serenade (1996),780
Love and Death on Long Island (1997),781
Love and Other Catastrophes (1996),782
Love and a .45 (1994),783
Love in the Afternoon (1957),784
"Low Down Dirty Shame, A (1994)",785
Léon: The Professional (a.k.a. The Professional) (Léon) (1994),786
M (1931),787
M. Butterfly (1993),788
Mad City (1997),789
Mad Love (1995),790
Made in America (1993),791
"Madness of King George, The (1994)",792
Madonna: Truth or Dare (1991),793
Major League: Back to the Minors (1998),794
Major Payne (1995),795
Malice (1993),796
Mallrats (1995),797
"Maltese Falcon, The (1941)",798
"Man Who Knew Too Little, The (1997)",799
"Man Who Would Be King, The (1975)",800
"Man Without a Face, The (1993)",801
"Man for All Seasons, A (1966)",802
"Man in the Iron Mask, The (1998)",803
"Man of No Importance, A (1994)",804
Man of the House (1995),805
Man of the Year (1995),806
"Manchurian Candidate, The (1962)",807
Manhattan (1979),808
Manhattan Murder Mystery (1993),809
Manon of the Spring (Manon des sources) (1986),810
"Mark of Zorro, The (1940)",811
Marked for Death (1990),812
Mars Attacks! (1996),813
Marty (1955),814
Marvin's Room (1996),815
Mary Poppins (1964),816
Mary Reilly (1996),817
Mary Shelley's Frankenstein (Frankenstein) (1994),818
"Mask, The (1994)",819
"MatchMaker, The (1997)",820
Matilda (1996),821
Maverick (1994),822
Maximum Risk (1996),823
Maya Lin: A Strong Clear Vision (1994),824
McHale's Navy (1997),825
Mediterraneo (1991),826
Meet John Doe (1941),827
Meet Me in St. Louis (1944),828
Meet Wally Sparks (1997),829
Men in Black (a.k.a. MIB) (1997),830
Menace II Society (1993),831
Mercury Rising (1998),832
Metro (1997),833
Metropolitan (1990),834
Miami Rhapsody (1995),835
Michael (1996),836
Michael Collins (1996),837
Microcosmos (Microcosmos: Le peuple de l'herbe) (1996),838
Midnight Cowboy (1969),839
Midnight in the Garden of Good and Evil (1997),840
Mighty Aphrodite (1995),841
Mighty Morphin Power Rangers: The Movie (1995),842
Milk Money (1994),843
Miller's Crossing (1990),844
Mimic (1997),845
Miracle on 34th Street (1994),846
"Mirror Has Two Faces, The (1996)",847
Mission: Impossible (1996),848
"Misérables, Les (1995)",849
"Misérables, Les (1998)",850
Mixed Nuts (1994),851
Moll Flanders (1996),852
Money Talks (1997),853
Money Train (1995),854
Monty Python and the Holy Grail (1975),855
Monty Python's Life of Brian (1979),856
Mortal Kombat (1995),857
Mortal Kombat: Annihilation (1997),858
Mother (1996),859
Mother Night (1996),860
Mouse Hunt (1997),861
Mr. Holland's Opus (1995),862
Mr. Jealousy (1997),863
Mr. Magoo (1997),864
Mr. Nice Guy (Yat goh ho yan) (1997),865
Mr. Smith Goes to Washington (1939),866
Mr. Wonderful (1993),867
Mr. Wrong (1996),868
"Mrs. Brown (a.k.a. Her Majesty, Mrs. Brown) (1997)",869
Mrs. Dalloway (1997),870
Mrs. Doubtfire (1993),871
Mrs. Miniver (1942),872
Mrs. Parker and the Vicious Circle (1994),873
Mrs. Winterbourne (1996),874
Much Ado About Nothing (1993),875
Mulan (1998),876
Mulholland Falls (1996),877
Multiplicity (1996),878
Muppet Treasure Island (1996),879
Murder at 1600 (1997),880
Murder in the First (1995),881
Muriel's Wedding (1994),882
Music From Another Room (1998),883
Mute Witness (1994),884
Mutiny on the Bounty (1935),885
My Best Friend's Wedding (1997),886
My Crazy Life (Mi vida loca) (1993),887
My Fair Lady (1964),888
My Family (1995),889
My Favorite Year (1982),890
My Fellow Americans (1996),891
My Left Foot (1989),892
My Life as a Dog (Mitt liv som hund) (1985),893
My Life in Pink (Ma vie en rose) (1997),894
My Man Godfrey (1936),895
My Own Private Idaho (1991),896
Mystery Science Theater 3000: The Movie (1996),897
Nadja (1994),898
Naked (1993),899
Naked Gun 33 1/3: The Final Insult (1994),900
National Lampoon's Senior Trip (1995),901
Natural Born Killers (1994),902
Nell (1994),903
"Net, The (1995)",904
"NeverEnding Story III, The (1994)",905
New Jersey Drive (1995),906
"Newton Boys, The (1998)",907
"Next Karate Kid, The (1994)",908
Nick of Time (1995),909
Night Flier (1997),910
Night of the Living Dead (1968),911
Night on Earth (1991),912
"Nightmare Before Christmas, The (1993)",913
"Nightmare on Elm Street 2: Freddy's Revenge, A (1985)",914
"Nightmare on Elm Street 3: Dream Warriors, A (1987)",915
